player,team,position,headshot_url,date,pass_yds_line,pass_yds_over_price,pass_yds_under_price,rush_yds_line,rush_yds_over_price,rush_yds_under_price,rec_yds_line,rec_yds_over_price,rec_yds_under_price,pass_tds_line,pass_tds_over_price,pass_tds_under_price,rush_tds_line,rush_tds_over_price,rush_tds_under_price,rec_tds_line,rec_tds_over_price,rec_tds_under_price,rush_yds_expected,rush_tds_expected,rec_yds_expected,rec_tds_expected,pass_yds_expected,pass_tds_expected,implied_fantasy_points
Jonnu Smith,PIT,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p8uldtljkzb6sile3wgx",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jordan Addison,MIN,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s2ey8g5memyqvxc52uzy",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jordan Love,GB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a8xqle2vmsnumawdhswb",2025-08-10,3550.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-112,-118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3782.7757009345783,27.267959148346893,260.3828646307707
Jordan Mason,MIN,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ixykwytfrfz1cdxlhj5w",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Josh Allen,BUF,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",2025-08-10,3775.5,-114,-114,500.5,-114,-114,NA,NA,NA,27.5,112,-148,10.5,-104,-128,NA,NA,NA,533.2429906542056,11.2218782249742,NA,NA,4022.495327102803,29.320450395617772,398.837183081849
Josh Downs,IND,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gqozitn9vxnp8acz6wwg",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Josh Jacobs,GB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo",2025-08-10,NA,NA,NA,1050.5,-114,-114,NA,NA,NA,NA,NA,NA,10.5,112,-148,NA,NA,NA,1119.2242990654204,11.156421180766891,NA,NA,NA,NA,178.86095699114338
Justin Fields,NYJ,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vqcvybvs1vlqhkjvujbg",2025-08-10,2600.5,-114,-114,650.5,-114,-114,NA,NA,NA,14.5,-108,-122,6.5,-114,-114,NA,NA,NA,693.0560747663551,6.925233644859812,NA,NA,2770.6261682242985,15.482155232155232,283.61067700338725
Justin Herbert,LAC,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",2025-08-10,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889.3177570093458,23.971962616822427,251.46056074766352
Justin Jefferson,MIN,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f0ccavu3ppzcs51e1cuv",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
