"","player","team","position","headshot_url","season","source","rec_yds_line","rec_yds_over_price","rec_yds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","pass_yds_line","pass_yds_over_price","pass_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_yds_expected","rush_tds_expected","rec_yds_expected","rec_tds_expected","pass_yds_expected","pass_tds_expected","implied_fantasy_points","date"
"22","Tua Tagovailoa","MIA","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pcoqwncqonnjbty2ezub","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500.5,-114,-114,22.5,-114,-114,NA,NA,NA,NA,3729.5046728972,23.9719626168224,245.068037383178,2025-08-09
"23","Geno Smith","LV","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqy0933vz5yogwlefb1s","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600.5,-114,-114,20.5,100,-132,NA,NA,NA,NA,3836.04672897196,21.8793103448276,240.959110538189,2025-08-09
"24","Aaron Rodgers","PIT","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.5,-114,-114,22.5,-108,-125,NA,NA,NA,NA,3409.8785046729,24.1645299145299,233.053259845036,2025-08-09
"25","Sam Darnold","SEA","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gklkfelgulirrnwrb8nh","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400.5,-114,-114,20.5,112,-148,NA,NA,NA,NA,3622.96261682243,21.8411442483262,232.283081666202,2025-08-09
"26","Bijan Robinson","ATL","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb","2025-26","FanDuel",350.5,-114,-114,NA,NA,NA,1200.5,-114,-114,10.5,112,-148,NA,NA,NA,NA,NA,NA,1279.03738317757,11.1564211807669,373.429906542056,NA,NA,NA,232.185256056564,2025-08-09
"27","Drake Maye","NE","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3275.5,-114,-114,20.5,-108,-122,NA,NA,NA,NA,3489.78504672897,21.8948371448371,227.170750448507,2025-08-09
"28","Jahmyr Gibbs","DET","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre","2025-26","FanDuel",425.5,-114,-114,NA,NA,NA,1075.5,-114,-114,10.5,112,-148,NA,NA,NA,NA,NA,NA,1145.85981308411,11.1564211807669,453.336448598131,NA,NA,NA,226.858153252826,2025-08-09
"29","Michael Penix","ATL","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azvyjzp2sa8cnljbp3i7","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3350.5,-114,-114,18.5,-130,-104,NA,NA,NA,NA,3569.69158878505,19.9156010230179,222.450067643473,2025-08-09
"30","Derrick Henry","BAL","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m7bv3lv9puapabltvykk","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,1325.5,-114,-114,12.5,-130,-102,NA,NA,NA,NA,NA,NA,1412.21495327103,13.4072320275506,NA,NA,NA,NA,221.664887492406,2025-08-09
"31","Bryce Young","CAR","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.5,-114,-114,18.5,-102,-130,NA,NA,NA,NA,3409.8785046729,19.7679724494189,215.467029984591,2025-08-09
"32","Cameron Ward","TEN","QB",NA,"2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.5,-114,-114,18.5,100,-132,NA,NA,NA,NA,3409.8785046729,19.7413793103448,215.360657428295,2025-08-09
"33","JaMarr Chase","CIN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw","2025-26","FanDuel",1325.5,-114,-114,10.5,-130,-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1412.21495327103,11.2668962548429,NA,NA,208.82287285616,2025-08-09
"34","Christian McCaffrey","SF","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj","2025-26","FanDuel",425.5,-114,-114,NA,NA,NA,950.5,-114,-114,7.5,-108,-122,NA,NA,NA,NA,NA,NA,1012.68224299065,8.000693000693,453.336448598131,NA,NA,NA,194.606027163037,2025-08-09
"35","Jonathan Taylor","IND","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,1175.5,-114,-114,9.5,-102,-130,NA,NA,NA,NA,NA,NA,1252.40186915888,10.1364614722342,NA,NA,NA,NA,186.058955749293,2025-08-09
"36","Josh Jacobs","GB","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,1050.5,-114,-114,10.5,112,-148,NA,NA,NA,NA,NA,NA,1119.22429906542,11.1564211807669,NA,NA,NA,NA,178.860956991143,2025-08-09
"37","Kyren Williams","LA","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/smsyrjrwy0lf0hu9hkvg","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,1000.5,-114,-114,10.5,-114,-114,NA,NA,NA,NA,NA,NA,1065.95327102804,11.1869158878505,NA,NA,NA,NA,173.716822429907,2025-08-09
"38","CeeDee Lamb","DAL","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijxzvtumjhqu3zva1bwc","2025-26","FanDuel",1175.5,-114,-114,7.5,-106,-125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1252.40186915888,8.00539374325782,NA,NA,173.272549375435,2025-08-09
"39","Malik Nabers","NYG","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc","2025-26","FanDuel",1150.5,-114,-114,7.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225.76635514019,8.000693000693,NA,NA,170.580793518177,2025-08-09
"40","Brian Thomas","JAX","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plnekkriys4cm11rnxwl","2025-26","FanDuel",1150.5,-114,-114,7.5,120,-160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225.76635514019,7.94405594405595,NA,NA,170.240971178354,2025-08-09
"41","Amon-Ra St Brown","DET","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i","2025-26","FanDuel",1075.5,-114,-114,8.5,-110,-120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1145.85981308411,9.07792207792208,NA,NA,169.053513775944,2025-08-09
"42","AJ Brown","PHI","WR","https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw","2025-26","FanDuel",1125.5,-114,-114,7.5,108,-144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199.1308411215,7.97730138713745,NA,NA,167.776892434974,2025-08-09
"43","Drake London","ATL","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/np91pvk7mczra1iyjkmo","2025-26","FanDuel",1125.5,-114,-114,7.5,112,-148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199.1308411215,7.95100426049909,NA,NA,167.619109675144,2025-08-09
"44","Nico Collins","HOU","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/osmqyvmib3pssxi6cyic","2025-26","FanDuel",1150.5,-114,-114,6.5,-140,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225.76635514019,6.99595469255664,NA,NA,164.552363669358,2025-08-09
"45","Puka Nacua","LA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvi4hdm6fywcekfe7ceb","2025-26","FanDuel",1200.5,-114,-114,5.5,-136,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1279.03738317757,5.93287464339654,NA,NA,163.500986178136,2025-08-09
"46","Matthew Stafford","LA","QB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3750.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,3995.85981308411,NA,159.834392523364,2025-08-09
"47","James Cook","BUF","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bzdvrarxum9zate4te4b","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,950.5,-114,-114,8.5,-140,106,NA,NA,NA,NA,NA,NA,1012.68224299065,9.13349514563107,NA,NA,NA,NA,156.069195172852,2025-08-09
"48","Ashton Jeanty","LV","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,1075.5,-114,NA,7.5,-118,-112,NA,NA,NA,NA,NA,NA,1075.53271028037,8.02838843690497,NA,NA,NA,NA,155.723601649467,2025-08-09
"49","Bucky Irving","TB","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmgpumoxwhvrrkcjuuuw","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,1000.5,-114,-114,7.5,-104,-128,NA,NA,NA,NA,NA,NA,1065.95327102804,8.00825593395253,NA,NA,NA,NA,154.644862706519,2025-08-09
"50","Ladd McConkey","LAC","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsvdiebsa34jtkcrjpju","2025-26","FanDuel",1050.5,-114,-114,6.5,106,-140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119.22429906542,6.89805825242718,NA,NA,153.310779421105,2025-08-09
"51","Tee Higgins","CIN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flr9f8oqigbyroeaubxb","2025-26","FanDuel",975.5,-114,-114,7.5,-122,-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.31775700935,8.03101178101178,NA,NA,152.117846387005,2025-08-09
"52","Tyreek Hill","MIA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjhpyrm4ocx5lsdynqpg","2025-26","FanDuel",975.5,-114,-114,7.5,128,-172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.31775700935,7.93524251805986,NA,NA,151.543230809294,2025-08-09
"53","Mike Evans","TB","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yaxorbdsvk1ucfuiyrkj","2025-26","FanDuel",950.5,-114,-114,7.5,-122,-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.68224299065,8.03101178101178,NA,NA,149.454294985136,2025-08-09
"54","Davante Adams","LA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qtonvcqpixixqhc6lhnc","2025-26","FanDuel",925.5,-114,-114,7.5,-102,-136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986.046728971962,8.07350226548079,NA,NA,147.045686490081,2025-08-09
"55","Marvin Harrison","ARI","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwpoo1icpnh8emjvqaii","2025-26","FanDuel",975.5,-114,-114,6.5,-122,-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.31775700935,6.96223146223146,NA,NA,145.705164474323,2025-08-09
"56","DJ Moore","CHI","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qphturmeiifnqrnf5pax","2025-26","FanDuel",975.5,-114,-114,6.5,104,-138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.31775700935,6.91036414565826,NA,NA,145.393960574884,2025-08-09
"57","Brock Bowers","LV","TE","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzp2ffi0lomamxofsrhy","2025-26","FanDuel",1025.5,-114,-114,5.5,124,-172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.58878504673,5.84033613445378,NA,NA,144.300895311396,2025-08-09
"58","James Conner","ARI","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g5yjordcmt76j0saytzb","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,900.5,-114,-114,7.5,-122,-108,NA,NA,NA,NA,NA,NA,959.411214953271,8.03101178101178,NA,NA,NA,NA,144.127192181398,2025-08-09
"59","Chuba Hubbard","CAR","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjgml85ghq7oa48dctn7","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,950.5,-114,-114,6.5,100,-132,NA,NA,NA,NA,NA,NA,1012.68224299065,6.91379310344828,NA,NA,NA,NA,142.750982919755,2025-08-09
"60","DeVon Achane","MIA","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjgwhrywjqfkk8bhseuh","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,875.5,-114,-114,7.5,116,-158,NA,NA,NA,NA,NA,NA,932.775700934579,7.99052540913006,NA,NA,NA,NA,141.220722548238,2025-08-09
"61","DK Metcalf","PIT","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ezpzdcvzlu5ga4uv6oas","2025-26","FanDuel",925.5,-114,-114,6.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986.046728971962,6.92523364485981,NA,NA,140.156074766355,2025-08-09
"62","Jaxon Smith-Njigba","SEA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kz7nsoloyrbzlp9gwuzc","2025-26","FanDuel",975.5,-114,-114,5.5,-130,-102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039.31775700935,5.91605682307361,NA,NA,139.428116639376,2025-08-09
"63","Courtland Sutton","DEN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r2sr6cbma4c7wc3isejj","2025-26","FanDuel",900.5,-114,-114,6.5,-128,-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.411214953271,6.98864809081527,NA,NA,137.873010040219,2025-08-09
"64","George Kittle","SF","TE","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ztz3xqjaqgok9m4nylgs","2025-26","FanDuel",900.5,-114,-114,6.5,118,-158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.411214953271,6.88542777896309,NA,NA,137.253688169106,2025-08-09
"65","Kenneth Walker","SEA","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ielqdthtspzi0ufvs4tw","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,875.5,-114,-114,6.5,-122,-108,NA,NA,NA,NA,NA,NA,932.775700934579,6.96223146223146,NA,NA,NA,NA,135.050958866847,2025-08-09
"66","Xavier Worthy","KC","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ue6fp8xwnyo7ftvabbb8","2025-26","FanDuel",875.5,-114,-114,6.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.775700934579,6.93191268191268,NA,NA,134.869046184934,2025-08-09
"67","Jaylen Waddle","MIA","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pnosct7rrqa4dibiqftv","2025-26","FanDuel",925.5,-114,-114,5.5,154,-210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,986.046728971962,5.749301498603,NA,NA,133.100481888814,2025-08-09
"68","David Montgomery","DET","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,725.5,-114,-114,8.5,-148,112,NA,NA,NA,NA,NA,NA,772.96261682243,9.14455264759586,NA,NA,NA,NA,132.163577567818,2025-08-09
"69","Calvin Ridley","TEN","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xovjyqujbz9kssrtncrk","2025-26","FanDuel",900.5,-114,-114,5.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.411214953271,5.85981308411215,NA,NA,131.1,2025-08-09
"70","Breece Hall","NYJ","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,900.5,-114,-114,5.5,-102,-130,NA,NA,NA,NA,NA,NA,959.411214953271,5.85578992681877,NA,NA,NA,NA,131.07586105624,2025-08-09
"71","George Pickens","DAL","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk","2025-26","FanDuel",900.5,-114,-114,5.5,102,-136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.411214953271,5.85165296190636,NA,NA,131.051039266765,2025-08-09
"72","Garrett Wilson","NYJ","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kbijsheobhwej7lh8mvf","2025-26","FanDuel",950.5,-114,-114,4.5,-136,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.68224299065,4.86155395200537,NA,NA,130.437548011098,2025-08-09
"73","Chase Brown","CIN","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv3sq3uzosixxexbznq5","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,875.5,-114,-114,5.5,-198,146,NA,NA,NA,NA,NA,NA,932.775700934579,6.01909750641131,NA,NA,NA,NA,129.392155131926,2025-08-09
"74","Jameson Williams","DET","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpjarmglg1jhwq5wr1uu","2025-26","FanDuel",875.5,-114,-114,5.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932.775700934579,5.86313236313236,NA,NA,128.456364272252,2025-08-09
"75","Tony Pollard","TEN","RB","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fzsehvh917cg3qcjkcxx","2025-26","FanDuel",NA,NA,NA,NA,NA,NA,875.5,-114,-114,5.5,118,-158,NA,NA,NA,NA,NA,NA,932.775700934579,5.81430908185762,NA,NA,NA,NA,128.163424584604,2025-08-09
"76","DeVonta Smith","PHI","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bmdflwy52nsk7zpnfhwb","2025-26","FanDuel",850.5,-114,-114,5.5,-122,-108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906.140186915888,5.89345114345114,NA,NA,125.974725552296,2025-08-09
"77","Rome Odunze","CHI","WR","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yqjdhpsno75du0n72u4w","2025-26","FanDuel",850.5,-114,-114,5.5,110,-146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906.140186915888,5.8246225319396,NA,NA,125.561753883226,2025-08-09
