"player","team","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price"
"Zach Charbonnet","SEA",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ray Davis","BUF",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rachaad White","TB",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ja'Marr Chase","CIN",2025-08-10,NA,NA,NA,NA,NA,NA,1325.5,-114,-114,NA,NA,NA,NA,NA,NA,10.5,-130,-102
"Justin Jefferson","MIN",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CeeDee Lamb","DAL",2025-08-10,NA,NA,NA,NA,NA,NA,1175.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-106,-125
"Puka Nacua","LAR",2025-08-10,NA,NA,NA,NA,NA,NA,1200.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-136,102
"Brian Thomas","JAX",2025-08-10,NA,NA,NA,NA,NA,NA,1150.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,120,-160
"Malik Nabers","NYG",2025-08-10,NA,NA,NA,NA,NA,NA,1150.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-108,-122
"Nico Collins","HOU",2025-08-10,NA,NA,NA,NA,NA,NA,1150.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-140,106
"A.J. Brown","PHI",2025-08-10,NA,NA,NA,NA,NA,NA,1125.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,108,-144
"Drake London","ATL",2025-08-10,NA,NA,NA,NA,NA,NA,1125.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,112,-148
"Amon-Ra St. Brown","DET",2025-08-10,NA,NA,NA,NA,NA,NA,1075.5,-114,-114,NA,NA,NA,NA,NA,NA,8.5,-110,-120
"Ladd McConkey","LAC",2025-08-10,NA,NA,NA,NA,NA,NA,1050.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,106,-140
"DJ Moore","CHI",2025-08-10,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,104,-138
"Brock Bowers","LV",2025-08-10,NA,NA,NA,NA,NA,NA,1025.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,124,-172
"Jaxon Smith-Njigba","SEA",2025-08-10,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-130,-102
"Mike Evans","TB",2025-08-10,NA,NA,NA,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-122,-108
"Terry McLaurin","WAS",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tee Higgins","CIN",2025-08-10,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-122,-108
"Tyreek Hill","MIA",2025-08-10,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,128,-172
"Marvin Harrison","ARI",2025-08-10,NA,NA,NA,NA,NA,NA,975.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-122,-108
"Garrett Wilson","NYJ",2025-08-10,NA,NA,NA,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-136,102
"Davante Adams","LAR",2025-08-10,NA,NA,NA,NA,NA,NA,925.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-102,-136
"DK Metcalf","PIT",2025-08-10,NA,NA,NA,NA,NA,NA,925.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-114,-114
"Calvin Ridley","TEN",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-114,-114
"George Pickens","DAL",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,102,-136
"Xavier Worthy","KC",2025-08-10,NA,NA,NA,NA,NA,NA,875.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-108,-122
"Zay Flowers","BAL",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-132,100
"George Kittle","SF",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,118,-158
"Trey McBride","ARI",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-136,102
"DeVonta Smith","PHI",2025-08-10,NA,NA,NA,NA,NA,NA,850.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-122,-108
"Jaylen Waddle","MIA",2025-08-10,NA,NA,NA,NA,NA,NA,925.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,154,-210
"Jerry Jeudy","CLE",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jameson Williams","DET",2025-08-10,NA,NA,NA,NA,NA,NA,875.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-108,-122
"Courtland Sutton","DEN",2025-08-10,NA,NA,NA,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-128,-104
"Rome Odunze","CHI",2025-08-10,NA,NA,NA,NA,NA,NA,850.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,110,-146
"Chris Olave","NO",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tetairoa McMillan","CAR",2025-08-10,NA,NA,NA,NA,NA,NA,825.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-148,112
"Jakobi Meyers","LV",2025-08-10,NA,NA,NA,NA,NA,NA,825.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Hunter","JAX",2025-08-10,NA,NA,NA,NA,NA,NA,750.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-106,-128
"Michael Pittman","IND",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricky Pearsall","SF",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keon Coleman","BUF",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Downs","IND",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stefon Diggs","NE",2025-08-10,NA,NA,NA,NA,NA,NA,775.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-140,106
"Deebo Samuel","WAS",2025-08-10,NA,NA,NA,NA,NA,NA,700.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthew Golden","GB",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Hockenson","MIN",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayden Reed","GB",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rashid Shaheed","NO",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darnell Mooney","ATL",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper Kupp","SEA",2025-08-10,NA,NA,NA,NA,NA,NA,675.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,116,-154
"David Njoku","CLE",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Godwin","TB",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","KC",2025-08-10,NA,NA,NA,NA,NA,NA,675.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-148,112
"Sam LaPorta","DET",2025-08-10,NA,NA,NA,NA,NA,NA,675.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-102,-130
"Cedric Tillman","CLE",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayden Higgins","HOU",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emeka Egbuka","TB",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Addison","MIN",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonnu Smith","PIT",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker Kraft","GB",2025-08-10,NA,NA,NA,NA,NA,NA,650.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Andrews","BAL",2025-08-10,NA,NA,NA,NA,NA,NA,550.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-136,102
