"player","team","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price"
"Dalton Kincaid","BUF",2026-09-04,NA,NA,NA,NA,NA,NA,550.5,-115,-115,NA,NA,NA,NA,NA,NA,3.5,-200,150
"Dontayvion Wicks","PHI",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas Goedert","PHI",2026-09-04,NA,NA,NA,NA,NA,NA,575.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-125,-105
"Rashid Shaheed","SEA",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-114,-114,NA,NA,NA,NA,NA,NA,3.5,135,-170
"Tre Tucker","LV",2026-09-04,NA,NA,NA,NA,NA,NA,575.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jerry Jeudy","CLE",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-110,-120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luke McCaffrey","WAS",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Ferguson","DAL",2026-09-04,NA,NA,NA,NA,NA,NA,525.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,-145,115
"Hunter Henry","NE",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-115,-115,NA,NA,NA,NA,NA,NA,4.5,120,-150
"Chig Okonkwo","WAS",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Schultz","HOU",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brenton Strange","JAX",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Andrews","BAL",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-115,-115
"Denzel Boston","CLE",2026-09-04,NA,NA,NA,NA,NA,NA,510.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Hockenson","MIN",2026-09-04,NA,NA,NA,NA,NA,NA,500.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omar Cooper","NYJ",2026-09-04,NA,NA,NA,NA,NA,NA,425.5,-114,-114,NA,NA,NA,NA,NA,NA,3.5,130,-170
"Greg Dulcich","MIA",2026-09-04,NA,NA,NA,NA,NA,NA,440.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Freiermuth","PIT",2026-09-04,NA,NA,NA,NA,NA,NA,425.5,-115,-115,NA,NA,NA,NA,NA,NA,7.5,500,NA
"Cade Otton","TB",2026-09-04,NA,NA,NA,NA,NA,NA,425.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenyon Sadiq","NYJ",2026-09-04,NA,NA,NA,NA,NA,NA,425.5,-114,-114,NA,NA,NA,NA,NA,NA,3.5,115,-145
"Germie Bernard","PIT",2026-09-04,NA,NA,NA,NA,NA,NA,375.5,-110,-120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gunnar Helm","TEN",2026-09-04,NA,NA,NA,NA,NA,NA,350.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isiah Pacheco","DET",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,900,NA,NA,NA,NA
"Chris Rodriguez","JAX",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeVonta Smith","",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,100,-130
